ECA1637,ECA2115,ECA2373,ECA2299,ECA1657,ECA1443,ECA1170,ECA1129,ECA1439,ECA1429
168,114,141,147,229,178,199,186,121,168
154,165,0,131,157,178,141,103,108,114
148,153,1,150,224,143,147,192,122,74
180,176,116,137,174,193,161,181,159,91
176,189,118,125,213,173,148,156,125,154
190,147,139,146,191,204,161,58,208,170
169,208,88,163,98,209,146,216,173,149
253,188,142,155,102,191,191,101,190,123
203,202,153,204,250,179,175,130,147,110
194,177,203,212,216,139,176,135,165,94
192,189,152,,261,,,118,,
,168,189,,,,,,,
,209,,,,,,,,